Id,Predicted
candidate11,0.5120338925741859
candidate13,0.603233755064897
candidate15,0.5275089071798273
candidate17,0.6611954074537283
candidate22,0.5
candidate26,0.6289606510673744
candidate33,0.5730702835495596
candidate40,0.5565632608398694
candidate42,0.5753615706979356
candidate49,0.5565301712635481
candidate56,0.40027588058939895
candidate59,0.5361820871040927
candidate60,0.4238562418293676
candidate68,0.5405856138993987
candidate75,0.521814625059368
candidate76,0.4647652671425895
candidate77,0.4757122229099265
candidate79,0.3924614606851742
candidate85,0.4921001660111014
candidate99,0.556480427641206
candidate100,0.4334950438062754
candidate103,0.5565371512954584
candidate107,0.6622282483887519
candidate108,0.552265475329049
candidate112,0.5105696804794787
candidate116,0.5413460552104689
candidate117,0.5501756366248487
candidate118,0.5565301712635421
candidate128,0.5565066821848479
candidate129,0.5565301712635481
candidate132,0.5565301712635481
candidate137,0.556012907242591
candidate144,0.5673051918444709
candidate146,0.55604723594245
candidate149,0.5719024569664102
candidate165,0.5792635233574223
candidate167,0.5446333315388046
candidate170,0.5468182696662238
candidate174,0.654262174231247
candidate178,0.5565520507032177
candidate189,0.6141734750130549
candidate191,0.556977147196032
candidate194,0.5647859738921842
candidate195,0.5565301712635481
candidate197,0.5261303424292176
candidate201,0.42911959651603093
candidate204,0.5819441806821853
candidate223,0.5565301712635481
candidate239,0.5578842789761143
candidate251,0.5456093566354542
candidate252,0.5453873416384651
candidate259,0.5785947634358289
candidate264,0.5565270826296534
candidate268,0.4362914752373154
candidate274,0.5594968845565749
candidate275,0.5698322161424195
candidate278,0.5565301712635481
candidate284,0.5664791346207717
candidate286,0.5566565389848436
candidate290,0.5836768024161098
candidate300,0.4920688175575105
candidate301,0.6248519938978134
candidate302,0.5192131009811841
candidate309,0.5705228617627396
candidate312,0.4466768722298892
candidate329,0.5229254149744254
candidate333,0.5561724134572626
candidate344,0.6519443619636281
candidate346,0.449070210895889
candidate348,0.5399756877735552
candidate354,0.5601620917978636
candidate357,0.5380625676883489
candidate360,0.5548586714866395
candidate363,0.5565301712635481
candidate368,0.5964999045065623
candidate373,0.5868247673562093
candidate384,0.5801321898085523
candidate390,0.5570828591578585
candidate394,0.533449155553653
candidate396,0.532604276970426
candidate397,0.5547285147212669
candidate398,0.5565301712635481
candidate402,0.47470823823428804
candidate403,0.5503474316396999
candidate412,0.6245895674352436
candidate424,0.5401753869306168
candidate427,0.5572234278968807
candidate431,0.5567143454040752
candidate439,0.5220478312989469
candidate440,0.46133532005645805
candidate450,0.5694201604465473
candidate451,0.6048147258673414
candidate455,0.6137776325951064
candidate456,0.590699491396946
candidate458,0.50876865854396
candidate459,0.540097939933481
candidate463,0.5888900234609009
candidate466,0.6087661016869776
candidate483,0.6432462431713641
candidate486,0.5295177314644326
candidate489,0.5730525459156328
candidate491,0.55620220083137
candidate493,0.5565349126875628
candidate498,0.5199068737630776
candidate499,0.47645059739966544
candidate502,0.43272615929888514
candidate509,0.6065649861018756
candidate513,0.5565301712635481
candidate524,0.5565301712635481
candidate530,0.6286162162061922
candidate544,0.5612919713494733
candidate556,0.5191493413915086
candidate563,0.5862962402679912
candidate564,0.5553709790795747
candidate565,0.5496632359421426
candidate580,0.5565440293568559
candidate582,0.6026134803186675
