gray_mean,gray_var,gray_maxP,gray_minP,gray_energy,gray_skewness,gray_kurtosis,gray_entropy,gray_Ca,wl_entropy,wl_entropy,wl_SP,wl_SI,shape_volume,shape_area,shape_ball,shape_centerx,shape_centery,shape_centerz
0.941614,167.81890306981802,208,51,0.9891902497740006,13.963847587300597,198.64672542791342,0.08070812776585733,0.005167,-0.09770471360534322,-0.09770471360534322,0.9848191433062523,16.584884000000116,5420,3222.506,0.4630450517368102,0.4976512915129151,0.5041346863468634,0.5045295202952029
0.121866,20.123930677386266,193,48,0.9984705991460003,37.74277548550902,1451.9404850553362,0.013702520887718197,0.000721,-0.027237801915122775,-0.027237801915122775,0.9892057683654428,4.5266500000000125,765,759.318,0.532722924560592,0.4964313725490196,0.49500653594771243,0.49899346405228756
0.01347,0.9699125590733768,119,30,0.9996080394359999,76.16955334560267,6027.61314033062,0.0037804404137752297,4e-06,-0.018133726419846532,-0.018133726419846532,0.9897499891583276,0.6919520000000001,196,261.59,0.6237832386222382,0.4975,0.4968877551020408,0.49918367346938775
0.052915,5.58749300271718,172,40,0.9989023046159999,48.0488942957219,2447.3629333100225,0.010425502808575992,0.000248,-0.023976348791043725,-0.023976348791043725,0.9893751994207628,1.890034000000002,549,588.2239999999999,0.5512174369302969,0.5035701275045538,0.5041165755919854,0.49759562841530053
0.026541,1.9749665753228505,174,29,0.9991721743539997,62.10116707611859,4487.125247036724,0.00780733071081613,3.8e-05,-0.02166939122513587,-0.02166939122513587,0.9895288143142901,0.6173520000000001,414,455.308,0.5899914763604581,0.5032608695652174,0.49951690821256034,0.5030193236714976
0.601177,105.93097521773326,214,34,0.9930543135859998,17.336869650535927,305.1615044717035,0.055287976967128734,0.003391,-0.0706741487021225,-0.0706741487021225,0.9864088925661316,18.072200000000063,3479,2474.5,0.4487105549591797,0.5030985915492958,0.5032883012359873,0.4967663121586663
0.049495,3.197541245007478,105,26,0.9983706773040006,38.1788955842308,1532.1387226978666,0.014322678484406673,8e-06,-0.027793683897298513,-0.027793683897298513,0.989166015556765,0.6134999999999998,815,762.146,0.5536275440702129,0.49868711656441717,0.49866257668711655,0.4978650306748466
0.033648,1.9605578120934664,137,22,0.9987264142980001,46.1786499956219,2377.9700158152623,0.01138761367706501,1.2e-05,-0.024854752355250843,-0.024854752355250843,0.9893447537173514,0.40185199999999943,637,603.778,0.592970554978852,0.5022605965463108,0.4990266875981162,0.5038461538461538
0.703931,103.18794014521298,217,1,0.9882510238620013,16.11666591317795,276.3391433190174,0.094462332588971,0.003145,-0.11063059359824998,-0.11063059359824998,0.9837769492264813,23.401146000000118,5896,5540.052,0.2848887283009268,0.4951034599728629,0.4980529172320217,0.4952425373134329
0.724166,104.69693960750223,195,43,0.9891816793339989,14.978394716690925,235.66929045050614,0.08649347574223273,0.003933,-0.10055098242319424,-0.10055098242319424,0.9845877539048337,13.240892000000123,5424,3930.9199999999996,0.37978374527253433,0.5017828171091445,0.4985435103244838,0.49681784660766964
