gray_mean,gray_var,gray_maxP,gray_minP,gray_energy,gray_skewness,gray_kurtosis,gray_entropy,gray_Ca,wl_energy_x,wl_energy_y,wl_energy_z,wl_entropy_x,wl_entropy_y,wl_entropy_z,wl_SP_x,wl_SP_y,wl_SP_z,wl_SI_x,wl_SI_y,wl_SI_z,shape_volume,shape_area,shape_ball,shape_h10,shape_h11,shape_h12,shape_h13,shape_h14,shape_h15,shape_h16,shape_h20,shape_h21,shape_h22,shape_h23,shape_h24,shape_h25,shape_h26,shape_h30,shape_h31,shape_h32,shape_h33,shape_h34,shape_h35,shape_h36
0.941614,167.8189031,208,51,0.98919025,13.96384759,198.6467254,0.080708128,0.005167,-0.097704714,0.968679907,0.968679907,-0.097704714,-0.097704714,-0.097704714,98.48191433,0.984819143,0.984819143,1658.4884,16.584884,16.584884,5420,3222.506,0.463045052,0.00066672,3.53E-08,1.55E-11,3.74E-13,-7.49E-25,-6.66E-17,-5.01E-25,0.00069754,6.56E-08,1.12E-11,1.58E-12,5.45E-24,3.90E-16,3.83E-24,0.00064609,1.05E-08,3.13E-12,2.47E-13,2.06E-25,1.53E-17,-7.08E-26
0.121866,20.12393068,193,48,0.998470599,37.74277549,1451.940485,0.013702521,0.000721,-0.027237802,0.978354304,0.978354304,-0.027237802,-0.027237802,-0.027237802,98.92057684,0.989205768,0.989205768,452.665,4.52665,4.52665,765,759.318,0.532722925,0.00068879,5.18E-08,2.46E-11,5.28E-13,-1.01E-24,-3.56E-17,-1.61E-24,0.00068014,3.40E-08,4.19E-11,3.05E-13,-1.02E-24,-5.59E-17,-3.88E-25,0.00067482,3.15E-08,3.08E-11,1.01E-12,-3.74E-24,-1.74E-16,4.20E-24
0.01347,0.969912559,119,30,0.999608039,76.16955335,6027.61314,0.00378044,4.00E-06,-0.018133726,0.97959028,0.97959028,-0.018133726,-0.018133726,-0.018133726,98.97499892,0.989749989,0.989749989,69.1952,0.691952,0.691952,196,261.59,0.623783239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.052915,5.587493003,172,40,0.998902305,48.0488943,2447.362933,0.010425503,0.000248,-0.023976349,0.978805441,0.978805441,-0.023976349,-0.023976349,-0.023976349,98.93751994,0.989375199,0.989375199,189.0034,1.890034,1.890034,549,588.224,0.551217437,0.0015849,1.35E-06,9.66E-10,7.98E-11,-1.73E-20,-8.74E-14,-1.38E-20,0.00117853,8.31E-07,8.05E-11,5.27E-12,9.31E-23,-2.55E-15,-5.57E-23,0.00119608,5.82E-07,8.68E-12,9.65E-13,2.79E-24,-5.30E-16,3.82E-33
0.026541,1.974966575,174,29,0.999172174,62.10116708,4487.125247,0.007807331,3.80E-05,-0.021669391,0.979113315,0.979113315,-0.021669391,-0.021669391,-0.021669391,98.95288143,0.989528814,0.989528814,61.7352,0.617352,0.617352,414,455.308,0.589991476,0.00067402,9.39E-08,2.07E-10,9.20E-13,-1.27E-23,-2.82E-16,0,0,0,0,0,0,0,0,0.00073529,3.00E-07,0,0,0,0,0
0.601177,105.9309752,214,34,0.993054314,17.33686965,305.1615045,0.055287977,0.003391,-0.070674149,0.972540075,0.972540075,-0.070674149,-0.070674149,-0.070674149,98.64088926,0.986408893,0.986408893,1807.22,18.0722,18.0722,3479,2474.5,0.448710555,0.00073955,9.40E-08,4.52E-11,2.66E-12,1.91E-23,5.13E-16,-2.21E-23,0.00071906,1.20E-07,1.84E-12,2.43E-13,1.53E-25,6.98E-17,5.45E-26,0.00065721,1.09E-08,6.35E-12,4.11E-13,-6.33E-25,-3.44E-17,-1.99E-25
0.049495,3.197541245,105,26,0.998370677,38.17889558,1532.138723,0.014322678,8.00E-06,-0.027793684,0.97828506,0.97828506,-0.027793684,-0.027793684,-0.027793684,98.91660156,0.989166016,0.989166016,61.35,0.6135,0.6135,815,762.146,0.553627544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033648,1.960557812,137,22,0.998726414,46.17865,2377.970016,0.011387614,1.20E-05,-0.024854752,0.978684368,0.978684368,-0.024854752,-0.024854752,-0.024854752,98.93447537,0.989344754,0.989344754,40.1852,0.401852,0.401852,637,603.778,0.592970555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.703931,103.1879401,217,1,0.988251024,16.11666591,276.3391433,0.094462333,0.003145,-0.110630594,0.967231342,0.967231342,-0.110630594,-0.110630594,-0.110630594,98.37769492,0.983776949,0.983776949,2340.1146,23.401146,23.401146,5896,5540.052,0.284888728,0.00089559,2.04E-07,1.46E-10,2.66E-11,1.56E-21,1.11E-14,-5.63E-22,0.00078311,1.59E-07,2.35E-11,6.12E-12,5.38E-23,1.88E-15,-4.98E-23,0.00106641,3.16E-07,5.02E-10,1.96E-10,6.08E-20,1.07E-13,-8.10E-21
0.724166,104.6969396,195,43,0.989181679,14.97839472,235.6692905,0.086493476,0.003933,-0.100550982,0.968549791,0.968549791,-0.100550982,-0.100550982,-0.100550982,98.45877539,0.984587754,0.984587754,1324.0892,13.240892,13.240892,5424,3930.92,0.379783745,0.00068592,5.17E-09,5.75E-11,7.11E-13,4.18E-24,2.62E-18,1.79E-24,0.00073281,4.43E-08,1.39E-11,4.60E-13,1.02E-24,5.98E-17,-5.66E-25,0.00073215,7.83E-08,1.94E-12,1.08E-12,1.55E-24,7.94E-17,6.00E-26
10.064416,1667.292145,216,1,0.877256212,3.926891401,16.67496153,0.738876951,0.054936,-0.916660542,0.85731393,0.85731393,-0.916660542,-0.916660542,-0.916660542,93.26061138,0.932606114,0.932606114,19960.836,199.60836,199.60836,63455,24903.368,0.308937009,0.00125494,4.16E-07,5.22E-10,1.19E-10,2.93E-20,3.77E-14,3.97E-21,0.00108526,2.40E-08,6.73E-12,1.22E-11,4.66E-23,2.99E-17,1.00E-22,0.00112382,2.35E-07,1.94E-11,6.32E-12,6.99E-23,2.97E-15,3.28E-24
